attendance,periodical,assignment,label
93,85,93,HighPerformer
67,71,72,Safe
80,64,80,Safe
100,89,97,HighPerformer
58,40,64,AtRisk
75,69,75,Safe
60,48,39,AtRisk
84,62,62,Safe
79,70,86,HighPerformer
79,63,55,Safe
90,77,50,Safe
90,73,51,Safe
60,79,73,Safe
85,68,62,Safe
78,62,66,Safe
64,78,56,Safe
67,54,71,Safe
85,76,60,Safe
78,54,46,AtRisk
90,54,66,Safe
67,38,45,AtRisk
83,92,86,HighPerformer
98,93,89,HighPerformer
49,55,60,AtRisk
59,47,42,AtRisk
99,71,88,HighPerformer
69,67,84,Safe
80,73,59,Safe
47,40,53,AtRisk
71,74,87,HighPerformer
69,65,54,Safe
89,50,65,Safe
87,70,85,Safe
64,47,59,AtRisk
85,49,58,Safe
67,80,73,Safe
70,44,60,AtRisk
88,77,91,HighPerformer
65,60,46,AtRisk
51,54,41,AtRisk
60,60,53,Safe
83,73,75,Safe
90,89,78,HighPerformer
75,88,69,HighPerformer
61,37,47,AtRisk
61,67,58,Safe
89,82,88,HighPerformer
61,49,44,AtRisk
79,85,85,HighPerformer
45,39,41,AtRisk
48,40,63,AtRisk
85,64,82,Safe
77,59,52,Safe
63,48,37,AtRisk
70,72,72,HighPerformer
93,71,78,HighPerformer
62,61,71,Safe
73,76,78,HighPerformer
61,54,67,Safe
78,69,75,Safe
76,72,78,HighPerformer
70,50,65,AtRisk
73,94,98,HighPerformer
84,93,89,HighPerformer
62,71,55,Safe
60,43,64,AtRisk
45,40,60,AtRisk
78,37,51,AtRisk
66,58,56,Safe
57,50,56,AtRisk
75,72,97,HighPerformer
88,95,65,HighPerformer
63,48,38,AtRisk
63,74,51,Safe
79,54,77,Safe
55,43,63,AtRisk
88,74,85,Safe
70,43,64,AtRisk
62,50,37,AtRisk
70,68,83,Safe
100,87,82,HighPerformer
57,45,42,AtRisk
63,37,39,AtRisk
90,76,54,Safe
77,55,54,AtRisk
69,41,59,AtRisk
85,52,74,Safe
63,56,54,AtRisk
58,35,61,AtRisk
63,73,81,Safe
73,65,65,Safe
97,80,74,HighPerformer
82,76,58,Safe
70,50,79,Safe
83,90,74,HighPerformer
78,54,60,Safe
99,90,68,HighPerformer
52,48,36,AtRisk
60,54,58,Safe
85,75,52,Safe
71,73,67,Safe
77,83,76,HighPerformer
87,93,88,HighPerformer
51,37,46,AtRisk
86,91,87,HighPerformer
66,76,61,Safe
64,49,39,AtRisk
84,94,82,HighPerformer
58,51,44,AtRisk
65,45,65,Safe
50,45,51,AtRisk
76,88,81,HighPerformer
62,56,43,AtRisk
84,92,99,HighPerformer
71,70,77,HighPerformer
50,59,39,AtRisk
67,49,58,Safe
64,47,48,AtRisk
82,70,85,Safe
65,38,60,AtRisk
97,78,87,HighPerformer
70,57,49,AtRisk
58,35,56,AtRisk
100,82,86,HighPerformer
58,47,41,AtRisk
60,39,63,AtRisk
80,62,81,Safe
66,48,56,AtRisk
72,88,88,HighPerformer
65,78,58,Safe
81,54,63,Safe
76,53,81,Safe
70,47,37,AtRisk
63,71,57,Safe
75,76,76,HighPerformer
67,82,91,HighPerformer
79,89,79,HighPerformer
63,57,48,AtRisk
80,60,72,Safe
93,87,89,HighPerformer
80,80,89,HighPerformer
87,76,70,HighPerformer
53,52,64,AtRisk
62,45,38,AtRisk
70,59,55,AtRisk
70,47,44,AtRisk
60,54,44,AtRisk
65,52,52,Safe
76,58,80,Safe
66,40,52,AtRisk
87,93,76,HighPerformer
95,87,70,HighPerformer
64,39,55,AtRisk
84,77,85,HighPerformer
77,64,71,Safe
67,66,83,Safe
85,78,69,HighPerformer
73,37,58,AtRisk
86,74,81,HighPerformer
55,35,60,AtRisk
75,93,67,HighPerformer
47,53,49,AtRisk
50,52,36,AtRisk
78,71,78,HighPerformer
70,53,47,AtRisk
84,53,61,Safe
87,70,70,HighPerformer
84,74,68,Safe
80,49,73,Safe
80,78,58,Safe
79,79,98,HighPerformer
81,89,92,HighPerformer
74,50,77,Safe
91,72,73,HighPerformer
98,91,93,HighPerformer
49,43,65,AtRisk
61,62,59,Safe
80,91,83,HighPerformer
69,84,69,HighPerformer
75,95,77,HighPerformer
50,58,35,AtRisk
73,56,58,AtRisk
85,68,76,Safe
49,35,64,AtRisk
98,89,74,HighPerformer
74,56,84,Safe
69,88,70,HighPerformer
90,50,71,Safe
47,58,57,AtRisk
88,86,74,HighPerformer
67,61,54,Safe
46,56,49,AtRisk
84,86,76,HighPerformer
86,83,66,HighPerformer
47,37,52,AtRisk
84,66,81,Safe
57,40,47,AtRisk
79,88,100,HighPerformer
55,43,46,AtRisk
65,74,81,HighPerformer
52,57,44,AtRisk
57,48,60,AtRisk
80,88,74,HighPerformer
86,85,96,HighPerformer
96,90,79,HighPerformer
85,91,93,HighPerformer
64,78,84,Safe
100,76,100,HighPerformer
58,51,42,AtRisk
82,91,67,HighPerformer
71,55,85,Safe
85,93,98,HighPerformer
64,49,61,AtRisk
86,90,91,HighPerformer
92,92,70,HighPerformer
52,58,50,AtRisk
65,56,44,AtRisk
87,77,96,HighPerformer
89,75,100,HighPerformer
85,49,59,Safe
61,37,42,AtRisk
58,45,65,AtRisk
78,73,83,Safe
62,47,49,AtRisk
73,59,74,Safe
59,53,59,AtRisk
97,75,83,HighPerformer
77,57,57,Safe
64,65,84,Safe
78,47,39,AtRisk
74,72,87,HighPerformer
78,72,67,HighPerformer
55,38,59,AtRisk
75,80,79,HighPerformer
84,58,55,Safe
53,48,59,AtRisk
50,46,58,AtRisk
88,78,72,HighPerformer
91,77,76,HighPerformer
93,91,88,HighPerformer
65,35,40,AtRisk
60,50,37,AtRisk
71,73,84,HighPerformer
74,73,77,HighPerformer
